Country,DevType,EdLevel,Employment,YearsCodePro,Age,ConvertedCompYearly,JobSat,RemoteWork,LanguageHaveWorkedWith,OpSys
India,Front-end developer,Bachelors degree,Employed full-time,More than 50 years,25-34 years old,,4,Remote,PHP;Go;C++;C#,Linux
United States,Mobile developer,Bachelors degree,Employed full-time,7,35-44 years old,133306.6906901775,4,Hybrid,Rust;TypeScript;Kotlin;Python,Windows
United Kingdom,Data scientist or machine learning specialist,Masters degree,Employed full-time,10,25-34 years old,104192.11152084755,4,Hybrid,JavaScript;Rust,Linux
India,Back-end developer,Bachelors degree,Employed full-time,16,25-34 years old,,3,Hybrid,Python;Rust;Go;Java,Windows
Canada,Embedded developer,Masters degree,Employed full-time,10,18-24 years old,,4,Remote,Rust;C#,Linux
India,Back-end developer,Some college,Employed full-time,18,45-54 years old,5000.0,4,Remote,Java,Linux
Brazil,Front-end developer,Bachelors degree,Employed full-time,17,18-24 years old,69078.10458882694,1,Remote,Rust;PHP;C#,Windows
Germany,Desktop developer,Masters degree,Not employed,30,35-44 years old,,4,Hybrid,TypeScript,macOS
Germany,Full-stack developer,Masters degree,Employed full-time,21,25-34 years old,62503.30763131035,2,Hybrid,C++;Python;Kotlin,macOS
Brazil,Full-stack developer,Bachelors degree,Student,28,25-34 years old,,3,Hybrid,Rust;JavaScript;Java;C#,Windows
India,Embedded developer,Masters degree,Self-employed,13,35-44 years old,39643.02452109471,4,In-person,Kotlin;Python;C++;Go,Windows
United States,Desktop developer,Bachelors degree,Employed full-time,1,18-24 years old,140146.08714946525,5,Remote,C#;TypeScript,Linux
United States,Mobile developer,Masters degree,Self-employed,1,25-34 years old,120467.70429317016,5,Hybrid,PHP,Windows
Canada,Mobile developer,Bachelors degree,Employed full-time,15,35-44 years old,42711.46589328561,2,Hybrid,Go;Kotlin;PHP,Windows
Germany,Mobile developer,Masters degree,Employed full-time,1,45-54 years old,106790.46072207725,4,Hybrid,Python;Java;C++,macOS
United Kingdom,Full-stack developer,Bachelors degree,Employed full-time,6,18-24 years old,44991.79744490687,4,Hybrid,Go;Python;Java,macOS
United States,Back-end developer,Secondary school,Freelancer,25,45-54 years old,,2,Hybrid,Go;TypeScript;Python,Windows
United States,Full-stack developer,Bachelors degree,Employed full-time,26,35-44 years old,,5,Hybrid,Go,Windows
United States,DevOps specialist,Bachelors degree,Employed full-time,13,45-54 years old,97904.50652716967,4,Hybrid,PHP,Linux
India,Data scientist or machine learning specialist,Masters degree,Not employed,27,25-34 years old,,5,In-person,Go;Python,Linux
Germany,Mobile developer,Some college,Employed full-time,28,25-34 years old,67377.24606653162,1,Hybrid,Kotlin;Go;Java,macOS
India,Back-end developer,Masters degree,Employed part-time,1,45-54 years old,37074.26481088392,3,Hybrid,TypeScript;PHP,Windows
India,Front-end developer,Masters degree,Self-employed,5,45-54 years old,53030.00693104316,5,In-person,C++;Go,Linux
Australia,Embedded developer,Some college,Student,Less than 1 year,25-34 years old,35822.82270758556,4,Remote,Rust;PHP;Go;TypeScript,Windows
United States,Front-end developer,Secondary school,Freelancer,9,25-34 years old,108681.25738215189,5,Remote,Go;C++,Linux
India,Data scientist or machine learning specialist,Bachelors degree,Freelancer,30,25-34 years old,23486.57854685873,2,In-person,Kotlin,Windows
Canada,Back-end developer,Masters degree,Employed full-time,25,25-34 years old,,4,Remote,JavaScript,macOS
India,Full-stack developer,Secondary school,Student,17,25-34 years old,11832.34564119109,4,Remote,Kotlin;JavaScript;PHP;C#,Linux
Germany,Full-stack developer,Associate degree,Employed full-time,16,25-34 years old,,1,In-person,Kotlin;TypeScript;Rust,macOS
Brazil,DevOps specialist,Secondary school,Employed full-time,8,45-54 years old,,4,Remote,Go;PHP,Windows
Netherlands,DevOps specialist,Bachelors degree,Employed full-time,17,18-24 years old,48455.42548578858,4,Hybrid,TypeScript;JavaScript;C#;C++,Linux
United States,Full-stack developer,Bachelors degree,Employed part-time,15,35-44 years old,,3,In-person,TypeScript;Java,macOS
Australia,Front-end developer,Masters degree,Freelancer,24,18-24 years old,,3,Hybrid,JavaScript,macOS
India,Embedded developer,Some college,Not employed,1,25-34 years old,,4,Remote,Java,macOS
United States,Mobile developer,Masters degree,Employed full-time,12,18-24 years old,93045.81539381194,4,Remote,Kotlin;TypeScript,Windows
India,Front-end developer,Masters degree,Employed full-time,5,25-34 years old,18564.945920195834,5,In-person,C#;JavaScript,Windows
Poland,Embedded developer,Secondary school,Employed full-time,24,35-44 years old,,3,Hybrid,TypeScript;JavaScript,Windows
India,DevOps specialist,Bachelors degree,Student,More than 50 years,45-54 years old,63253.76268713591,3,Hybrid,Go,Windows
United States,Data scientist or machine learning specialist,Secondary school,Self-employed,6,25-34 years old,,5,Remote,Go;Kotlin;C++;C#,Windows
Germany,Embedded developer,Bachelors degree,Employed full-time,25,25-34 years old,114674.08270957503,5,Hybrid,Go;Rust;C++;C#,Linux
United States,Full-stack developer,Bachelors degree,Employed full-time,1,25-34 years old,135143.53642204046,1,Remote,JavaScript;Python,macOS
United States,DevOps specialist,Masters degree,Employed full-time,25,45-54 years old,128341.90648846493,5,Hybrid,JavaScript;TypeScript,Linux
United States,DevOps specialist,Some college,Employed full-time,1,35-44 years old,100307.32625964089,2,Hybrid,Python,macOS
United States,Mobile developer,Bachelors degree,Not employed,More than 50 years,25-34 years old,131422.8248407615,1,Hybrid,C#;PHP;C++,Windows
United States,Full-stack developer,Bachelors degree,Employed full-time,10,35-44 years old,,3,Hybrid,JavaScript;Kotlin;Rust,macOS
United States,Mobile developer,Associate degree,Employed full-time,10,45-54 years old,145333.22506396825,3,Hybrid,Go,Windows
Germany,Full-stack developer,Bachelors degree,Employed full-time,3,18-24 years old,,5,Hybrid,TypeScript;Python,Windows
United States,Mobile developer,Masters degree,Employed full-time,17,25-34 years old,117736.83011087832,4,Hybrid,Go;Rust;C#;Kotlin,Windows
United States,Embedded developer,Masters degree,Freelancer,19,45-54 years old,,5,Hybrid,TypeScript;Go;Java;Rust,macOS
Brazil,Front-end developer,Masters degree,Employed full-time,28,35-44 years old,40249.54075146011,4,Hybrid,PHP;Python;Java;Kotlin,macOS
India,Data scientist or machine learning specialist,Masters degree,Employed full-time,11,25-34 years old,,4,Hybrid,Kotlin,Windows
United Kingdom,Data scientist or machine learning specialist,Bachelors degree,Employed full-time,29,25-34 years old,,4,Hybrid,Rust,Windows
United States,Full-stack developer,Masters degree,Employed part-time,18,25-34 years old,144180.20397801994,5,Hybrid,JavaScript;PHP;Go;Kotlin,Linux
United States,Back-end developer,Bachelors degree,Employed part-time,2,25-34 years old,84402.49783583665,4,Hybrid,Java;Python;Rust;Kotlin,Linux
United States,Desktop developer,Masters degree,Self-employed,9,35-44 years old,141283.41404682086,5,Remote,Rust;PHP;JavaScript,Linux
United States,DevOps specialist,Bachelors degree,Employed full-time,24,25-34 years old,170108.97810713787,5,In-person,PHP;Java;C++,Windows
United States,DevOps specialist,Masters degree,Employed full-time,17,35-44 years old,110967.17821646106,2,Remote,Java;JavaScript,macOS
United States,Full-stack developer,Bachelors degree,Employed full-time,28,45-54 years old,,4,In-person,Rust,Windows
United States,Embedded developer,Bachelors degree,Employed part-time,14,18-24 years old,,5,In-person,Go,Windows
United States,Mobile developer,Bachelors degree,Employed full-time,4,25-34 years old,,5,Hybrid,JavaScript,Windows
India,Back-end developer,Bachelors degree,Employed full-time,29,25-34 years old,18887.351151864088,3,Hybrid,TypeScript;JavaScript,macOS
United States,Front-end developer,Secondary school,Student,17,35-44 years old,,4,Hybrid,Python;Rust;Java;C#,Windows
India,Mobile developer,Bachelors degree,Student,17,25-34 years old,,4,Remote,TypeScript;C#,Linux
India,Mobile developer,Other doctoral degree,Employed full-time,12,35-44 years old,,3,Hybrid,Rust;JavaScript,Windows
United Kingdom,Full-stack developer,Associate degree,Employed full-time,28,45-54 years old,,4,Hybrid,Java;Python,Windows
United States,Full-stack developer,Masters degree,Employed full-time,20,25-34 years old,120061.20233477146,3,Hybrid,C#;Python;Rust;JavaScript,BSD
Canada,Embedded developer,Bachelors degree,Employed part-time,18,45-54 years old,,3,Remote,C#;C++;JavaScript;PHP,Windows
Germany,DevOps specialist,Bachelors degree,Student,3,65 years or older,79756.59081516671,4,In-person,Rust;Python;Java;C++,macOS
United States,Full-stack developer,Some college,Employed full-time,11,18-24 years old,129592.50639103146,4,Hybrid,Kotlin,macOS
Brazil,Full-stack developer,Bachelors degree,Employed full-time,25,25-34 years old,51353.97628380918,4,Hybrid,Python;Java;Kotlin,Linux
Australia,Full-stack developer,Bachelors degree,Student,18,55-64 years old,,4,Hybrid,Python;Rust,Windows
United States,Embedded developer,Masters degree,Student,4,55-64 years old,101452.53988608133,3,Hybrid,Kotlin;C++;JavaScript,macOS
United States,DevOps specialist,Secondary school,Employed full-time,17,18-24 years old,,3,Hybrid,Kotlin;C++;Rust;Java,macOS
France,Front-end developer,Some college,Employed full-time,18,18-24 years old,47314.50566365373,1,Hybrid,Kotlin,BSD
Canada,Front-end developer,Bachelors degree,Employed full-time,5,18-24 years old,,3,Hybrid,C#;PHP,macOS
United States,Desktop developer,Masters degree,Employed full-time,14,65 years or older,115327.86078034269,4,Hybrid,C++;Kotlin;Rust;Java,Windows
United States,Desktop developer,Bachelors degree,Not employed,10,18-24 years old,124039.98021514642,5,Remote,TypeScript;Go;JavaScript,Linux
India,Full-stack developer,Bachelors degree,Student,15,25-34 years old,15100.708982185986,3,In-person,PHP;Rust,Windows
India,Desktop developer,Secondary school,Self-employed,1,45-54 years old,5000.0,2,Remote,JavaScript;TypeScript,Windows
Germany,DevOps specialist,Bachelors degree,Employed full-time,16,18-24 years old,40104.79224789397,4,Remote,PHP;Java;Kotlin;C++,Linux
India,Embedded developer,Bachelors degree,Student,11,35-44 years old,5000.0,3,Remote,Python;PHP;Rust,macOS
India,Front-end developer,Bachelors degree,Employed full-time,23,25-34 years old,,5,Remote,Rust,Linux
Canada,Mobile developer,Secondary school,Employed full-time,20,45-54 years old,64237.58357657768,4,Hybrid,Rust,macOS
United States,Front-end developer,Some college,Employed full-time,6,25-34 years old,140207.58626566528,3,In-person,C++;JavaScript;Kotlin;Python,Windows
United States,Front-end developer,Masters degree,Employed full-time,24,35-44 years old,111084.85080406303,3,Remote,Java,Windows
United Kingdom,DevOps specialist,Some college,Self-employed,29,35-44 years old,,4,Hybrid,C#;Kotlin;Java,Windows
Brazil,Desktop developer,Bachelors degree,Employed full-time,More than 50 years,25-34 years old,31145.70427994575,2,Hybrid,Rust;Java,Windows
India,Mobile developer,Masters degree,Employed full-time,22,18-24 years old,,2,Hybrid,Go;TypeScript,Windows
India,DevOps specialist,Bachelors degree,Employed full-time,16,25-34 years old,,3,Hybrid,TypeScript,macOS
United States,Full-stack developer,Bachelors degree,Employed full-time,30,25-34 years old,,5,In-person,Rust;Java;Go;Python,Linux
India,Embedded developer,Masters degree,Employed full-time,2,35-44 years old,,4,Remote,JavaScript;Go,Windows
India,Data scientist or machine learning specialist,Other doctoral degree,Employed full-time,1,35-44 years old,37770.866345351984,1,Remote,C#,Windows
United States,Front-end developer,Bachelors degree,Student,24,25-34 years old,153952.4755941868,4,Remote,PHP;Kotlin;Python,Linux
United States,Data scientist or machine learning specialist,Bachelors degree,Employed full-time,24,35-44 years old,,4,In-person,JavaScript,Windows
India,Embedded developer,Bachelors degree,Employed full-time,9,35-44 years old,37922.59352048343,4,Hybrid,Rust,Linux
United States,Embedded developer,Bachelors degree,Employed full-time,22,45-54 years old,113584.32276296002,3,Remote,Kotlin;C++;C#;Go,Windows
United States,DevOps specialist,Other doctoral degree,Student,12,25-34 years old,92759.13258290486,4,Remote,Kotlin,Windows
United States,DevOps specialist,Masters degree,Employed full-time,17,25-34 years old,106323.02199000848,5,Remote,Python;Rust;Java;Go,Linux
United States,DevOps specialist,Masters degree,Employed full-time,30,25-34 years old,119816.8192293069,2,Hybrid,Java;PHP;Kotlin;JavaScript,Linux
United States,Data scientist or machine learning specialist,Some college,Employed full-time,25,25-34 years old,,3,In-person,JavaScript;PHP;Go;Rust,Windows
Brazil,DevOps specialist,Bachelors degree,Employed full-time,28,25-34 years old,98525.71709710787,3,In-person,Java,macOS
Germany,Embedded developer,Masters degree,Employed full-time,29,25-34 years old,76625.54335182137,3,Remote,Java,Windows
United Kingdom,Full-stack developer,Bachelors degree,Self-employed,15,18-24 years old,83576.86888051288,4,In-person,Java;C#,Windows
Canada,DevOps specialist,Masters degree,Employed full-time,30,35-44 years old,51298.45516847368,5,Remote,C++;PHP;C#;Kotlin,Linux
India,Back-end developer,Associate degree,Employed full-time,19,18-24 years old,18766.482284695318,5,In-person,TypeScript;PHP,Linux
United States,Desktop developer,Some college,Self-employed,27,18-24 years old,93419.84725553103,3,Remote,JavaScript;PHP;Python;Rust,Windows
India,Data scientist or machine learning specialist,Bachelors degree,Employed part-time,22,25-34 years old,,4,Hybrid,Java;PHP,Linux
Germany,Back-end developer,Secondary school,Employed full-time,10,25-34 years old,,4,Hybrid,TypeScript;Python;JavaScript,Windows
Canada,DevOps specialist,Bachelors degree,Employed full-time,29,25-34 years old,60151.203607882664,4,Hybrid,TypeScript;C++;Java;Python,macOS
India,Embedded developer,Bachelors degree,Employed full-time,26,25-34 years old,43858.772397944675,4,In-person,TypeScript;Java,Linux
United States,Full-stack developer,Bachelors degree,Employed full-time,Less than 1 year,25-34 years old,123625.07896690101,3,In-person,JavaScript;Python;Kotlin,Windows
United States,Front-end developer,Bachelors degree,Employed part-time,27,25-34 years old,112950.92536724516,4,Remote,JavaScript;Kotlin,Windows
India,Mobile developer,Masters degree,Student,12,18-24 years old,67965.93727573918,4,In-person,Go;Java;TypeScript,Linux
Germany,Desktop developer,Masters degree,Freelancer,14,18-24 years old,73121.92862573906,5,In-person,Python;Go;Kotlin;TypeScript,Linux
Germany,Mobile developer,Other doctoral degree,Employed full-time,Less than 1 year,45-54 years old,98260.01939410609,5,In-person,Rust;PHP,macOS
India,DevOps specialist,Masters degree,Employed full-time,More than 50 years,25-34 years old,,2,Hybrid,TypeScript;JavaScript;Go;C#,macOS
Poland,Desktop developer,Masters degree,Employed full-time,More than 50 years,25-34 years old,74191.98958767133,2,Hybrid,C#;Rust;TypeScript,Windows
Germany,Desktop developer,Bachelors degree,Student,9,18-24 years old,93560.31318303374,5,Hybrid,PHP;Rust;JavaScript;Go,macOS
United States,Full-stack developer,Bachelors degree,Employed full-time,27,25-34 years old,,4,Remote,JavaScript,Linux
United States,Desktop developer,Masters degree,Employed full-time,13,25-34 years old,,5,Hybrid,JavaScript;C++;Java;Python,Windows
United States,Data scientist or machine learning specialist,Bachelors degree,Self-employed,3,25-34 years old,120365.04921712226,2,Remote,C++;Go,Linux
United States,Back-end developer,Secondary school,Self-employed,21,35-44 years old,,4,Hybrid,Java,Windows
United States,Back-end developer,Bachelors degree,Student,29,18-24 years old,130549.6166605546,4,In-person,JavaScript;Kotlin;TypeScript,Windows
United States,Back-end developer,Bachelors degree,Employed full-time,14,25-34 years old,128916.77750458493,5,Remote,PHP,macOS
United States,Data scientist or machine learning specialist,Bachelors degree,Self-employed,21,35-44 years old,85554.86132084962,2,Hybrid,Java;Kotlin,Linux
United States,Mobile developer,Bachelors degree,Student,10,55-64 years old,105590.89858649882,3,Hybrid,PHP;Go,macOS
Brazil,Full-stack developer,Bachelors degree,Employed full-time,16,18-24 years old,68227.15262302879,4,In-person,Java,Windows
United States,Desktop developer,Some college,Employed full-time,7,25-34 years old,128207.66553573785,5,Remote,JavaScript;Rust;Python,Windows
India,Data scientist or machine learning specialist,Bachelors degree,Employed full-time,4,18-24 years old,49293.33560265805,5,In-person,Java;Go,Windows
India,Back-end developer,Masters degree,Freelancer,27,18-24 years old,22102.664897078113,5,Hybrid,Rust;C#;Python;Go,Windows
Poland,DevOps specialist,Bachelors degree,Employed full-time,20,25-34 years old,68116.48173347628,5,Hybrid,Java;TypeScript,BSD
United States,Front-end developer,Bachelors degree,Employed full-time,23,18-24 years old,120327.48483862587,1,Hybrid,Java;Go;Python,Windows
India,Desktop developer,Bachelors degree,Employed full-time,25,35-44 years old,,1,Remote,C++,Linux
Netherlands,Data scientist or machine learning specialist,Some college,Self-employed,Less than 1 year,25-34 years old,14884.17337810505,2,Hybrid,TypeScript;Python;C++;Go,Linux
Brazil,Embedded developer,Bachelors degree,Employed full-time,11,18-24 years old,68620.19384260153,3,Hybrid,TypeScript;Rust,macOS
France,Data scientist or machine learning specialist,Some college,Employed full-time,16,18-24 years old,,5,In-person,Go;Kotlin;Python;Rust,Linux
United States,Full-stack developer,Bachelors degree,Employed full-time,20,35-44 years old,,5,Remote,Python;TypeScript;Go,Linux
United States,Full-stack developer,Some college,Not employed,4,18-24 years old,,3,Hybrid,C++;Python;PHP;Java,macOS
United Kingdom,Data scientist or machine learning specialist,Bachelors degree,Employed full-time,22,35-44 years old,72594.79028817476,4,Hybrid,Go;C#,Windows
Australia,Back-end developer,Masters degree,Employed full-time,22,25-34 years old,54681.59851608896,5,Hybrid,Rust,macOS
Germany,Front-end developer,Masters degree,Self-employed,23,25-34 years old,,4,Hybrid,JavaScript;Kotlin;Java;Python,macOS
Germany,Desktop developer,Other doctoral degree,Employed full-time,Less than 1 year,25-34 years old,112280.97060823516,2,Hybrid,TypeScript;Go,Windows
United States,Full-stack developer,Bachelors degree,Not employed,17,18-24 years old,77171.3823936059,4,Hybrid,C++;PHP;TypeScript;Kotlin,Linux
Canada,Desktop developer,Bachelors degree,Employed full-time,13,25-34 years old,,4,Remote,TypeScript;Go;JavaScript;Kotlin,macOS
United States,Back-end developer,Bachelors degree,Employed full-time,11,18-24 years old,115812.48773376174,4,In-person,PHP;Python;Rust;TypeScript,macOS
United States,Desktop developer,Secondary school,Employed full-time,30,25-34 years old,149096.523482933,4,Hybrid,Rust;Go;Java,Windows
India,DevOps specialist,Masters degree,Employed full-time,3,35-44 years old,5000.0,1,Hybrid,Kotlin;Go;PHP;Python,Linux
India,Full-stack developer,Some college,Employed part-time,9,25-34 years old,,5,Remote,Rust;Go,Windows
United States,Back-end developer,Bachelors degree,Employed full-time,6,18-24 years old,,4,In-person,Go;Rust;Python;TypeScript,Windows
United States,Back-end developer,Bachelors degree,Self-employed,22,25-34 years old,,4,Remote,C#;Rust,macOS
Germany,Front-end developer,Bachelors degree,Employed full-time,21,35-44 years old,71038.80473562187,5,Remote,Java;Python;C#,macOS
United States,Front-end developer,Associate degree,Employed full-time,11,55-64 years old,111274.73935639943,3,In-person,C++;TypeScript;JavaScript,Linux
Germany,DevOps specialist,Masters degree,Employed full-time,16,25-34 years old,95962.3351853831,3,Hybrid,JavaScript;Go,Linux
United States,Back-end developer,Other doctoral degree,Freelancer,19,25-34 years old,98629.58491835122,5,Remote,JavaScript;Kotlin;C++;Python,Linux
India,Mobile developer,Bachelors degree,Employed full-time,27,25-34 years old,,3,Hybrid,JavaScript;TypeScript;C++,macOS
India,Back-end developer,Masters degree,Employed full-time,5,55-64 years old,17316.36668586049,5,Hybrid,Kotlin;PHP;C#,Windows
United States,Front-end developer,Masters degree,Employed full-time,14,45-54 years old,104757.33102971804,3,Hybrid,C#;Python;Go,Windows
United States,Mobile developer,Bachelors degree,Employed full-time,17,25-34 years old,171719.50351367792,1,Remote,Python,macOS
United States,Full-stack developer,Secondary school,Employed full-time,3,25-34 years old,128381.0146950692,4,Hybrid,Java;Kotlin;JavaScript;PHP,Windows
United States,Full-stack developer,Other doctoral degree,Not employed,4,25-34 years old,132265.31089322286,3,In-person,Kotlin;JavaScript,Windows
Poland,Desktop developer,Secondary school,Employed full-time,16,25-34 years old,,5,Remote,TypeScript;Python;Java,Linux
United States,Data scientist or machine learning specialist,Some college,Student,16,35-44 years old,,4,Hybrid,C++,Linux
France,Front-end developer,Bachelors degree,Employed full-time,21,25-34 years old,,5,Hybrid,PHP,Windows
United States,Data scientist or machine learning specialist,Bachelors degree,Employed part-time,26,18-24 years old,,5,Remote,JavaScript;Kotlin;C++,macOS
United Kingdom,Mobile developer,Associate degree,Not employed,25,35-44 years old,44624.67179922959,3,Hybrid,TypeScript,Windows
Canada,Front-end developer,Bachelors degree,Employed full-time,4,35-44 years old,,5,Hybrid,Go,Windows
Germany,DevOps specialist,Some college,Freelancer,19,25-34 years old,,4,Hybrid,C++;JavaScript;Python;Rust,Windows
India,Back-end developer,Some college,Employed full-time,26,35-44 years old,29374.365322829755,4,Hybrid,PHP,Windows
India,DevOps specialist,Masters degree,Not employed,17,25-34 years old,21663.705186032133,5,In-person,Python,Linux
United States,Mobile developer,Associate degree,Employed part-time,13,45-54 years old,119760.05310744552,4,Hybrid,Java,Windows
Australia,Front-end developer,Bachelors degree,Employed full-time,26,45-54 years old,40439.53952954864,4,In-person,Go;JavaScript,macOS
France,Embedded developer,Bachelors degree,Employed full-time,22,25-34 years old,30055.352110316537,4,Hybrid,Rust;Go,macOS
Netherlands,Mobile developer,Bachelors degree,Employed full-time,23,35-44 years old,74530.2324467212,3,Remote,C#;Rust;PHP;Go,Windows
United States,Embedded developer,Bachelors degree,Employed full-time,26,45-54 years old,,3,Remote,PHP,Windows
Canada,Back-end developer,Bachelors degree,Employed full-time,Less than 1 year,25-34 years old,91689.88750314117,4,Hybrid,Rust,Windows
Australia,Full-stack developer,Bachelors degree,Employed full-time,24,25-34 years old,44199.65806369584,3,Remote,PHP;C++;Java,Linux
United States,Full-stack developer,Secondary school,Employed full-time,28,35-44 years old,133856.30420601845,2,In-person,TypeScript,Windows
United States,Mobile developer,Other doctoral degree,Self-employed,1,25-34 years old,,1,In-person,Java;Kotlin,macOS
Canada,Data scientist or machine learning specialist,Bachelors degree,Employed full-time,12,25-34 years old,83809.49970386965,4,Hybrid,Java;Rust;Go,Windows
Germany,Front-end developer,Bachelors degree,Employed full-time,4,45-54 years old,,4,In-person,Java;TypeScript;Python,macOS
France,Front-end developer,Other doctoral degree,Employed full-time,11,35-44 years old,64224.18798448914,5,In-person,C++,Linux
United States,Full-stack developer,Bachelors degree,Employed full-time,5,25-34 years old,113209.39686668027,4,Remote,TypeScript;C++;PHP;Kotlin,macOS
Canada,Desktop developer,Bachelors degree,Employed full-time,2,18-24 years old,79218.64357216522,4,In-person,Java;C#,Linux
United States,DevOps specialist,Bachelors degree,Employed full-time,17,25-34 years old,132938.0904651313,4,In-person,Rust;C++,Linux
United States,Desktop developer,Masters degree,Not employed,8,25-34 years old,106311.19195827635,4,Hybrid,Kotlin,Linux
United States,Back-end developer,Bachelors degree,Student,6,18-24 years old,93444.02653041139,4,Remote,TypeScript,macOS
France,DevOps specialist,Associate degree,Employed full-time,21,35-44 years old,54229.341986364074,5,Remote,Go;TypeScript;PHP,Linux
United Kingdom,DevOps specialist,Bachelors degree,Employed part-time,29,25-34 years old,90308.27630696418,5,In-person,C#;JavaScript;PHP,macOS
India,Mobile developer,Masters degree,Employed full-time,9,25-34 years old,,5,In-person,TypeScript;Go;C#,Windows
India,Full-stack developer,Bachelors degree,Employed part-time,13,25-34 years old,5000.0,5,In-person,PHP;TypeScript;C#;Java,Windows
Brazil,Desktop developer,Masters degree,Employed part-time,11,65 years or older,,4,Hybrid,Python;C++;Kotlin;C#,Windows
India,Desktop developer,Masters degree,Employed full-time,29,25-34 years old,50493.67699358973,4,Remote,Kotlin;Rust;C#,macOS
France,Full-stack developer,Some college,Employed full-time,16,18-24 years old,37287.28190484342,4,In-person,Python;Rust;C#,Windows
India,Desktop developer,Some college,Employed full-time,16,18-24 years old,35185.90647284016,4,Hybrid,C++;Python;Go,macOS
India,Embedded developer,Masters degree,Employed full-time,27,25-34 years old,12678.575693273526,5,Remote,Java;JavaScript;C#;PHP,Windows
India,Full-stack developer,Other doctoral degree,Student,2,25-34 years old,,4,Hybrid,C++;PHP,Windows
United States,Mobile developer,Some college,Employed full-time,10,25-34 years old,,5,In-person,Go;Rust;TypeScript;C++,Windows
Canada,Data scientist or machine learning specialist,Some college,Student,12,25-34 years old,82867.23060411657,3,In-person,Rust,Windows
India,DevOps specialist,Bachelors degree,Freelancer,8,18-24 years old,,5,Hybrid,Rust;TypeScript;C++;C#,Linux
United States,Mobile developer,Bachelors degree,Employed full-time,11,25-34 years old,125043.89708468574,4,Remote,Kotlin,Windows
Brazil,Front-end developer,Bachelors degree,Employed part-time,30,25-34 years old,,4,Hybrid,JavaScript,Windows
India,Back-end developer,Masters degree,Employed part-time,10,18-24 years old,5000.0,3,Hybrid,C#,macOS
India,Data scientist or machine learning specialist,Bachelors degree,Freelancer,13,18-24 years old,,5,Hybrid,Go,Windows
Australia,Front-end developer,Bachelors degree,Freelancer,25,18-24 years old,64938.12126833224,5,Hybrid,Kotlin,Windows
Germany,DevOps specialist,Secondary school,Employed part-time,17,18-24 years old,52496.04344524554,3,Hybrid,Rust,macOS
United States,Desktop developer,Secondary school,Employed full-time,7,35-44 years old,98226.13179047315,4,Hybrid,C#;Java,Windows
Australia,Full-stack developer,Other doctoral degree,Self-employed,24,18-24 years old,,4,Hybrid,Rust,Windows
Germany,DevOps specialist,Bachelors degree,Employed full-time,3,25-34 years old,86257.08960914261,5,In-person,C#;Go;Rust;Python,Windows
United States,Mobile developer,Masters degree,Self-employed,30,18-24 years old,,4,In-person,PHP,Windows
United States,Back-end developer,Bachelors degree,Not employed,20,55-64 years old,135604.0344237215,3,Remote,PHP;Go,Windows
Canada,Mobile developer,Bachelors degree,Employed full-time,13,45-54 years old,36515.95408559707,4,Remote,C#;Go;Kotlin;TypeScript,Windows
Germany,Data scientist or machine learning specialist,Bachelors degree,Employed full-time,19,25-34 years old,67881.30165826058,4,Hybrid,PHP;Rust;Java,Windows
India,Data scientist or machine learning specialist,Bachelors degree,Employed full-time,7,25-34 years old,57957.55211567347,2,Remote,Java;C#;Kotlin;C++,Windows
Brazil,Back-end developer,Bachelors degree,Employed full-time,9,18-24 years old,61366.44259879635,4,Remote,PHP;Rust;Kotlin,Windows
Canada,Embedded developer,Secondary school,Employed full-time,19,25-34 years old,62526.25029173998,5,Hybrid,Java,Windows
United States,Front-end developer,Bachelors degree,Self-employed,13,18-24 years old,166118.9317193548,5,Remote,C#;JavaScript;Go;Java,Windows
United States,Front-end developer,Some college,Not employed,22,35-44 years old,92013.15668302459,2,Remote,C#;Java,Windows
United States,Data scientist or machine learning specialist,Masters degree,Not employed,8,25-34 years old,135928.60733284222,5,Hybrid,C++,Linux
Canada,Data scientist or machine learning specialist,Bachelors degree,Employed full-time,22,45-54 years old,93279.725596162,4,Hybrid,C++;C#;PHP,macOS
United States,Desktop developer,Masters degree,Student,18,18-24 years old,,3,Hybrid,Rust;JavaScript,Linux
Germany,Full-stack developer,Bachelors degree,Self-employed,29,35-44 years old,92192.61573709692,1,In-person,PHP;C#;Python,macOS
Canada,Desktop developer,Masters degree,Employed full-time,23,35-44 years old,40359.6100557819,3,In-person,PHP,Linux
Brazil,Desktop developer,Bachelors degree,Employed full-time,2,18-24 years old,,5,Hybrid,C++;JavaScript,Linux
United States,Embedded developer,Bachelors degree,Employed full-time,18,25-34 years old,,1,In-person,PHP;Rust;JavaScript;TypeScript,Windows
France,Front-end developer,Bachelors degree,Not employed,18,18-24 years old,75971.3334622118,3,Hybrid,C++,Windows
United States,Embedded developer,Masters degree,Employed full-time,11,25-34 years old,142418.73024812492,5,Hybrid,C#;TypeScript;JavaScript,Windows
France,Embedded developer,Other doctoral degree,Self-employed,Less than 1 year,25-34 years old,91392.57173878986,4,In-person,Rust;Java;TypeScript;Go,Windows
United States,Back-end developer,Bachelors degree,Employed full-time,1,25-34 years old,118651.06882889636,5,In-person,Rust,macOS
India,Front-end developer,Some college,Self-employed,14,25-34 years old,48872.23510345176,4,Remote,Java;Go;Kotlin;PHP,macOS
